Atom	Electronegativity	ElectronegativityFromH	ElectronegativityFromO	Mass	Valence	Radius01	Radius02	Radius03	Radius04	Radius05	Radius06	Radius07	Radius08	Radius09	Radius10	Radius11	Radius12	Radius13	Radius14	Xensity	MolDensity	Filling	Porosity	BulkModulus	ShearModulus	PoissonRatio	ThermalConductivity	ThermalExpansion	Superconducting	OuterPrincipal	OuterAzimuthal	OuterNelectron	OuterNnonquenched	OuterRnonquenched	OuterFillingnonquenched	DebyeTemp	HubbardU	MMSusc
H	2.2	0.000001	-1.24	1.00794	1	-0.38	-0.18	0	0	0	0	0	0	0	0	0	0	0	0	0.00009	0.000089	0	1	0	0	0	0.1805	0	0	1	0.000001	0.000001	0.000001	0.000001	0.000001	0	0	-0.4999
He	0	-2.2	-3.44	4.002602	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179	0.000045	0	1	0	0	0	0.1513	0	0	1	0.000001	2	0.000001	0.000001	0.000001	0	0	-0.236
Li	0.98	-1.22	-2.46	6.94	1	0.4593	0.4984	0.5421	0.59	0.6716	0.76	0.8405	0.92	0.9864	1.0476	1.10345	1.1593	0	0	0.534	0.076945	0.085204	0.914796	11	4.2	0	85	0.000046	0	1	0.000001	2	0.000001	0.000001	0.000001	344	0	1.78
Be	1.57	-0.63	-1.87	9.012183	2	0	0	0.16	0.27	0.3636	0.45	0.5364	0.6228	0.7092	0.7956	0.882	0.9684	0	0	1.85	0.205278	0.047187	0.952813	130	132	0.032	190	0.000011	0.026	1	0.000001	2	0.000001	0.000001	0.000001	1440	0	-1.136
B	2.04	-0.16	-1.4	10.81	3	0	0	0.1	0.11	0.1959	0.27	0.3441	0.4182	0.4923	0.5664	0.6405	0.7146	0	0	2.37	0.219241	0.010886	0.989114	320	0	0	27	0.000006	0	1	0.000001	2	0.000001	0.000001	0.000001	0	0	-0.941
C	2.55	0.35	-0.89	12.011	4	0	0	0.0851	0.15	0.155	0.16	0.165	0.17	0.175	0.18	0.185	0.19	0	0	2.267	0.188744	0.00195	0.99805	33	0	0	140	0.000007	0	1	0.000001	2	0.000001	0.000001	0.000001	2230	0	-0.745
N	3.04	0.84	-0.4	14.007	-3	0	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0.001251	0.000089	0	1	0	0	0	0.02583	0	0	2	1	6	0.000001	0.000001	0.000001	0	0	-1.5
F	3.98	1.78	0.54	18.998403	-1	0	1.285	1.3	1.31	1.32	1.33	1.34	1.35	1.36	1.37	1.38	1.39	0	0	0.001696	0.000089	0.00053	0.99947	0	0	0	0.0277	0	0	2	1	6	0.000001	0.000001	0.000001	0	0	0
Ne	0	-2.2	-3.44	20.1797	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009	0.000045	0	1	0	0	0	0.0491	0	0	2	1	6	0.000001	0.000001	0.000001	75	0	-0.827
Na	0.93	-1.27	-2.51	22.989769	1	0.8849	0.9304	0.9653	0.99	1	1.02	1.12	1.18	1.24	1.2956	1.3456	1.39	0	0	0.97	0.042193	0.112948	0.887052	6.3	3.3	0	140	0.00007	0	3	0.000001	0.000001	0.000001	0.000001	0.000001	158	0	2
Mg	1.31	-0.89	-2.13	24.305	2	0	0	0.4813	0.57	0.66	0.72	0.78	0.89	1	1.11	1.22	1.33	0	0	1.74	0.07159	0.067405	0.932595	45	17	0.29	160	0.000025	0	3	0.000001	0.000001	0.000001	0.000001	0.000001	400	0	1.68
Al	1.61	-0.59	-1.83	26.981538	3	0	0	0.2975	0.39	0.48	0.535	0.5957	0.89	0.89	0.89	0.89	0.89	0	0	2.7	0.100068	0.038654	0.961346	76	26	0.35	235	0.000023	1.175	2	1	6	0.000001	0.000001	0.000001	428	0	2.1
