No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
1	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.95	Mg	0.05			||					||	O	2.95	||	772	5.585895626
2	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.9	Mg	0.1			||					||	O	2.925	||	996	7.039913552
3	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.85	Mg	0.15			||					||	O	2.9	||	1118	7.704818403
4	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.8	Mg	0.2			||					||	O	2.875	||	1152	7.707858465
5	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.75	Mg	0.25			||					||	O	2.85	||	1173	7.635331286
6	||	Perovskites		||	La	0.95	Sr	0.05			||	Ga	0.7	Mg	0.3			||					||	O	2.825	||	1157	7.381703309
7	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.95	Mg	0.05			||					||	O	2.925	||	783	5.823889002
8	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.9	Mg	0.1			||					||	O	2.9	||	993	7.13372116
9	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.85	Mg	0.15			||					||	O	2.875	||	1050	7.38952061
10	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.8	Mg	0.2			||					||	O	2.85	||	1111	7.642279998
11	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.75	Mg	0.25			||					||	O	2.825	||	1146	7.766053925
12	||	Perovskites		||	La	0.9	Sr	0.1			||	Ga	0.7	Mg	0.3			||					||	O	2.8	||	1169	7.697001103
13	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.95	Mg	0.05			||					||	O	2.9	||	803	6.127026551
14	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.9	Mg	0.1			||					||	O	2.875	||	930	6.783679807
15	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.85	Mg	0.15			||					||	O	2.85	||	998	7.095503245
16	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.83	Mg	0.17			||					||	O	2.84	||	1044	7.401680855
17	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.8	Mg	0.2			||					||	O	2.825	||	1073	7.521980427
18	||	Perovskites		||	La	0.85	Sr	0.15			||	Ga	0.75	Mg	0.25			||					||	O	2.8	||	1116	7.668771961
