Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
H	0.89842503710476662171	0.89842610280381096644	0.89842500598935870482	-1.63965631369239606130	-0.74867737156838864987	-1.65351470877080997113	-1.10527188304818735354	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	-1.34874752839517442204	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03230991826966866931	-1.13828234572215891696	-0.57796699551806318684	0.57796699860293532236	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.60842723931540354521	-0.47949882441663732591	-0.36334680783921063929	-2.22295309618450076528	-1.57263126555582011257	-1.83820519959656802911	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18752437782191092031
He	-1.72239496063731611919	-1.72239492259466930868	-1.72239492994446363738	-1.60591217980580913682	-1.22655602890212378497	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	-1.34874752839517442204	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03229508382168755354	-1.13919142616198887374	-0.57796699551806318684	0.57796699860293532236	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.60881803344609364270	-0.47949882441663732591	-0.36334680783921063929	-2.22295309618450076528	-1.57263126555582011257	-1.28743230102106065438	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18741159051855607598
Li	-0.55493877982493389212	-0.55493881466994054996	-0.55493877666485180722	-1.57281330207263181364	-0.74867737156838864987	1.02078164963659401288	0.67669599912275768538	0.68628178873523937309	0.24298164714501385708	0.34171074540153700827	0.13321404589990148981	0.48036781265639522109	0.53273900937870088956	0.55974779670839414081	0.58098038999015844119	0.59406227475954387351	0.60821734220143297556	-0.15985249364112497084	-0.09166984970282122946	-0.94331823151074578604	0.44963325163183442967	-0.07620782038570775296	0.07620786339606848425	-0.49112956614613706430	-0.43926347274900412465	-0.88799434642803343198	0.52674271849486620223	1.64476563046284685043	-0.36334680783921063929	-2.22295309618450076528	-1.57263126555582011257	-1.28743230102106065438	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	0.57165182114694634841	-0.56610885442594327532	-0.18654997928868358170
Be	0.14791749229680650757	0.14791741357045704031	0.14791747888103670694	-1.54946374857059776531	-0.27079823635551836247	-0.44270496708748641179	-0.63246200865141533054	-0.27344398135336661637	-0.51808879098712201650	-0.36643650365105995270	-0.47127028045730051664	-0.15186766801297366114	-0.05746110464045851157	0.03402559319233267737	0.12216792280896159040	0.20610955446592096885	0.28578202056201384984	-0.15985249364112497084	-0.09166984970282122946	-0.72396841642066966926	3.10111098082968528189	-0.30008672936893338035	0.30008675456502126311	0.91164869702828443820	2.44675512809013850912	-0.67946338444884757379	1.93199558570203322461	0.02847745827193497517	-0.34682020910084282450	-2.22295309618450076528	-1.57263126555582011257	-1.28743230102106065438	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	4.54130522022857352482	-0.56610885442594327532	-0.18779623838903486410
B	0.70781994635988776388	0.70781983267721448883	0.70781991973962621323	-1.52920577703605320430	0.20708089885735195268	-0.44270496708748641179	-0.63246200865141533054	-0.42414679790745291044	-0.89862401005319014757	-0.75200888568391888178	-0.82226117963245004550	-0.55166669113931243729	-0.46376979686226199595	-0.37733496215627387871	-0.29513294019869817930	-0.21696825971746105943	-0.14289312156519728969	-0.15985249364112497084	-0.09166984970282122946	-0.63729523720574587919	3.38959939404210652825	-0.51386025897411191643	0.51386026716002264347	3.15137869705467110748	-0.53410915446672235785	-0.88799434642803343198	-0.24949219862909291501	-0.20242085204105242369	-0.36334680783921063929	-2.22295309618450076528	-1.57263126555582011257	-1.28743230102106065438	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18771289801709778455
C	1.31537367310918829055	1.31537352149518538269	1.31537363216064862037	-1.51567279575209190590	0.68496003407022221232	-0.44270496708748641179	-0.63246200865141533054	-0.46157133068505096229	-0.80349020528667303154	-0.84604532232759144250	-1.03675561801726368039	-0.92402241158615205929	-0.95666235507072538979	-0.97910860997606563583	-0.99864538987653317381	-1.01494732539253540438	-1.02895687081632014603	-0.15985249364112497084	-0.09166984970282122946	-0.65446319385793272350	2.75950334464446989102	-0.56648360986119150606	0.56648361385980827709	-0.23179240824834487777	-0.53410915446672235785	-0.88799434642803343198	1.26282755369862043082	-0.15624118997845495849	-0.36334680783921063929	-2.22295309618450076528	-1.57263126555582011257	-1.28743230102106065438	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	7.40264298051551339341	-0.56610885442594327532	-0.18762913025863794947
N	1.89910176351537973716	1.89910157545754954000	1.89910170880045425790	-1.49318167947999591583	-2.66019391241986991048	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	2.31214190081675852184	-1.20241812623393085069	-1.34874752839517442204	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03211640372915236519	-1.13828234572215891696	-0.57796699551806318684	0.57796699860293532236	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.61049724370560298770	-0.47949882441663732591	-0.36334680783921063929	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18795180708331737929
F	3.01890667164154224977	3.01890641367106482562	3.01890659051763332599	-1.43693807966341879911	-1.70443564199412933569	-0.44270496708748641179	2.74287515023665084968	2.58990953317427230473	1.95539013294232000284	1.83249865542005641039	1.24468522662120850697	1.51884733450562170454	1.38666245832970536078	1.26829691371272512690	1.16796903847911814900	1.07854330793724240145	0.99787595248018612359	-0.15985249364112497084	-0.09166984970282122946	-1.03204223148924723041	-1.13828234572215891696	-0.57484587018568267247	0.57484587351890570339	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.61047221682120600406	-0.47949882441663732591	-0.36334680783921063929	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.67429778586407540519	-0.56610885442594327532	-0.18731072729918607500
Ne	-1.72239496063731611919	-1.72239492259466930868	-1.72239492994446363738	-1.42362711364193672559	-1.22655602890212378497	-0.44270496708748641179	-0.63246200865141533054	-0.67531815883092993769	-1.16024197316111177258	-1.20241812623393085069	-1.34874752839517442204	-1.26706369507989058398	-1.29425999767926214190	-1.31100394047862978120	-1.32636858072024499400	-1.33904420168208249109	-1.34987206783826674261	-0.15985249364112497084	-0.09166984970282122946	-1.03217490812512235898	-1.13919142616198887374	-0.57796699551806318684	0.57796699860293532236	-0.62079814509503317144	-0.53410915446672235785	-0.88799434642803343198	-0.61018581290350848434	-0.47949882441663732591	-0.36334680783921063929	-1.53896752812773107699	-0.60485863068761192007	-0.18588595309687158674	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.40265179596341660329	-0.56610885442594327532	-0.18766417595350379233
Na	-0.61450287068270836865	-0.61450290180895739134	-0.61450286611789306512	-1.39196299109102894498	-0.74867737156838864987	2.37688856032191653256	1.81143969767501045176	1.74923898816339451479	1.19431969481018396273	1.09676125380696842804	0.64020090026400644501	1.06145895651397048631	1.04906481572116838663	1.04071154422525258276	1.03251011959705052412	1.01827880769745648948	0.99787595248018612359	-0.15985249364112497084	-0.09166984970282122946	-0.87064610432284827990	-0.26837500848118184260	0.08717425739082938774	-0.08717420137999100371	-0.54653341351521089742	-0.45958754740280088891	-0.88799434642803343198	1.26282755369862043082	2.75307751996518668136	-0.36334680783921063929	-0.85498196007096172178	-1.57263126555582011257	-1.83820519959656802911	-0.58069614915794776078	-0.61021921698123982036	-0.36821424418776926846	-0.10203023380668752029	-0.56610885442594327532	-0.18645595425367766929
