CompositionName	OM	MinElectronegativityFromO	AveElectronegativityFromO	MaxElectronegativityFromO	StdDvElectronegativityFromO	SkewElectronegativityFromO	KurtoElectronegativityFromO	MinMass	AveMass	MaxMass	StdDvMass	SkewMass	KurtoMass	MinValence	AveValence	MaxValence	StdDvValence	SkewValence	KurtoValence	MinRadius06	AveRadius06	MaxRadius06	StdDvRadius06	SkewRadius06	KurtoRadius06	MinXensity	AveXensity	MaxXensity	StdDvXensity	SkewXensity	KurtoXensity	MinMolDensity	AveMolDensity	MaxMolDensity	StdDvMolDensity	SkewMolDensity	KurtoMolDensity	MinFilling	AveFilling	MaxFilling	StdDvFilling	SkewFilling	KurtoFilling	MinBulkModulus	AveBulkModulus	MaxBulkModulus	StdDvBulkModulus	SkewBulkModulus	KurtoBulkModulus	MinShearModulus	AveShearModulus	MaxShearModulus	StdDvShearModulus	SkewShearModulus	KurtoShearModulus	MinPoissonRatio	AvePoissonRatio	MaxPoissonRatio	StdDvPoissonRatio	SkewPoissonRatio	KurtoPoissonRatio	MinThermalConductivity	AveThermalConductivity	MaxThermalConductivity	StdDvThermalConductivity	SkewThermalConductivity	KurtoThermalConductivity	MinThermalExpansion	AveThermalExpansion	MaxThermalExpansion	StdDvThermalExpansion	SkewThermalExpansion	KurtoThermalExpansion	MinOuterPrincipal	AveOuterPrincipal	MaxOuterPrincipal	StdDvOuterPrincipal	SkewOuterPrincipal	KurtoOuterPrincipal	MinOuterAzimuthal	AveOuterAzimuthal	MaxOuterAzimuthal	StdDvOuterAzimuthal	SkewOuterAzimuthal	KurtoOuterAzimuthal	MinDebyeTemp	AveDebyeTemp	MaxDebyeTemp	StdDvDebyeTemp	SkewDebyeTemp	KurtoDebyeTemp	MinCoor	AveCoor	MaxCoor	StdDvCoor	SkewCoor	KurtoCoor	MinRadius	AveRadius	MaxRadius	StdDvRadius	SkewRadius	KurtoRadius	Ea	Log10A
La0.950Sr0.050Ga0.950Mg0.050O2.950	1.475	-2.49	-2.00125	-1.63	0.355472837	0.063860548	1.046612918	24.305	101.8966482	138.90547	36.0261782	-0.074711869	1.369681096	2	2.95	3	0.217944947	-4.12948321	18.05263158	0.62	0.8322	1.18	0.209020477	0.029172874	1.094861491	1.74	5.838	6.15	0.851011751	-4.094567167	18.4368111	0.03013	0.063836525	0.084764	0.02048651	-0.017175235	1.095799054	0.05096	0.087321225	0.124878	0.035630728	-0.012779935	1.013000127	28	28.85	45	3.705064102	4.12948321	18.05263158	6.1	13.76666667	17	1.829216156	-3.241080568	15.1593327	0.28	0.28047619	0.29	0.002129589	4.248529157	19.05	13	24.825	160	23.11048193	4.943976172	29.29502718	0.000012	6.39E-05	0.00012	5.34232E-05	0.09365007	1.016313126	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.450000025	2	0.545435539	-0.263453788	1.971397889	142	233.125	400	91.71073751	0.067703001	1.138936394	6	9	12	3	1.83881E-15	1	0.62	0.9945	1.44	0.370026688	-0.001232785	1.010669224	772	5.585895626
La0.950Sr0.050Ga0.900Mg0.100O2.925	1.4625	-2.49	-2.01375	-1.63	0.350960735	0.142424604	1.083311272	24.305	100.7611982	138.90547	37.69919461	-0.177242902	1.550811031	2	2.925	3	0.263391344	-3.227137186	11.41441441	0.62	0.8347	1.18	0.207056297	0.016719129	1.109895809	1.74	5.73375	6.15	1.064454526	-3.224110116	11.70333174	0.03013	0.063507175	0.084764	0.020251976	0.004830183	1.118206769	0.05096	0.08773235	0.124878	0.035302163	-0.025250253	1.026000141	28	29.61904762	45	4.990239907	2.757764159	8.605263158	6.1	13.91363636	17	1.909853744	-2.728953658	13.35473634	0.28	0.280909091	0.29	0.002874798	2.846049894	9.1	13	28.1	160	31.30079871	3.688384521	15.79200307	0.000012	0.000061525	0.00012	5.29863E-05	0.19098089	1.048280529	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.40000005	2	0.583095069	-0.363172473	2.276813861	142	235.125	400	94.41588518	0.117046758	1.22734466	6	9	12	3	6.94E-18	1	0.62	0.997	1.44	0.367819249	-0.005649902	1.015915165	996	7.039913552
La0.950Sr0.050Ga0.850Mg0.150O2.900	1.45	-2.49	-2.02625	-1.63	0.345938488	0.222091166	1.134330266	24.305	99.62574825	138.90547	39.26823832	-0.242243379	1.633891784	2	2.9	3	0.3	-2.666666667	8.111111111	0.62	0.8372	1.18	0.205042825	0.00496214	1.125398726	1.74	5.6295	6.15	1.232951641	-2.670156987	8.307960465	0.03013	0.063177825	0.084764	0.020009274	0.026066307	1.142368565	0.05096	0.088143475	0.124878	0.034965677	-0.037094822	1.039257293	28	30.31818182	45	5.833962973	2.119251771	5.49122807	6.1	14.04782609	17	1.971066709	-2.412217435	12.15009267	0.28	0.281304348	0.29	0.003367812	2.194690563	5.816666667	13	31.375	160	37.46911228	2.977904261	10.44272027	0.000012	5.915E-05	0.00012	5.24383E-05	0.289883625	1.100223734	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.350000075	2	0.614410122	-0.384796894	2.333096937	142	237.125	400	97.00442967	0.152069428	1.280383966	6	9	12	3	1.85962E-15	1	0.62	0.9995	1.44	0.365581386	-0.009728338	1.020972334	1118	7.704818403
La0.950Sr0.050Ga0.800Mg0.200O2.875	1.4375	-2.49	-2.03875	-1.63	0.340383515	0.303213938	1.200959297	24.305	98.49029825	138.90547	40.74532259	-0.281262102	1.658213536	2	2.875	3	0.330718914	-2.267786838	6.142857143	0.62	0.8397	1.18	0.202978595	-0.006017483	1.141268968	1.74	5.52525	6.15	1.373149641	-2.273123755	6.284525173	0.03013	0.062848475	0.084764	0.019758103	0.046413449	1.168205837	0.05096	0.0885546	0.124878	0.03462104	-0.048241748	1.052660457	28	30.95652174	45	6.443589743	1.720618004	3.960526316	6.1	14.17083333	17	2.017729575	-2.207615871	11.31047348	0.28	0.281666667	0.29	0.00372678	1.788854382	4.2	13	34.65	160	42.50502911	2.501082847	7.595827557	0.000012	0.000056775	0.00012	5.17757E-05	0.391108991	1.173804159	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.3000001	2	0.640312221	-0.365674035	2.294465489	142	239.125	400	99.48547319	0.175907439	1.308353941	6	9	12	3	1.80411E-15	1	0.62	1.002	1.44	0.363312538	-0.01344538	1.025796234	1152	7.707858465
La0.950Sr0.050Ga0.750Mg0.250O2.850	1.425	-2.49	-2.05125	-1.63	0.334269259	0.38617616	1.284882863	24.305	97.35484825	138.90547	42.14011855	-0.301838477	1.647136314	2	2.85	3	0.357071421	-1.960392118	4.843137255	0.62	0.8422	1.18	0.200862042	-0.016127381	1.157382516	1.74	5.421	6.15	1.493041861	-1.966322746	4.950569514	0.03013	0.062519125	0.084764	0.019498135	0.065727468	1.19560429	0.05096	0.088965725	0.124878	0.034268005	-0.058608893	1.066075673	28	31.54166667	45	6.903979328	1.436369693	3.063157895	6.1	14.284	17	2.053227703	-2.072149254	10.70920296	0.28	0.282	0.29	0.004	1.5	3.25	13	37.925	160	46.7757349	2.147440358	5.837544357	0.000012	0.0000544	0.00012	5.0994E-05	0.495498632	1.2714314	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.250000125	2	0.661437592	-0.323968438	2.224488117	142	241.125	400	101.8668708	0.190908648	1.318506229	6	9	12	3	0	1	0.62	1.0045	1.44	0.361012119	-0.016776458	1.030337554	1173	7.635331286
La0.950Sr0.050Ga0.700Mg0.300O2.825	1.4125	-2.49	-2.06375	-1.63	0.327564402	0.471397705	1.388278896	24.305	96.21939825	138.90547	43.46054967	-0.309050107	1.614965568	2	2.825	3	0.379967104	-1.710674407	3.926406926	0.62	0.8447	1.18	0.198691495	-0.025261484	1.173587622	1.74	5.31675	6.15	1.597207544	-1.716803613	4.011302073	0.03013	0.062189775	0.084764	0.019229013	0.083834319	1.224402085	0.05096	0.08937685	0.124878	0.03390631	-0.068102206	1.079341414	28	32.08	45	7.260413211	1.217561555	2.48245614	6.1	14.38846154	17	2.08000128	-1.981659814	10.27203927	0.28	0.282307692	0.29	0.00421325	1.278019301	2.633333333	13	41.2	160	50.4758358	1.867826227	4.65028509	0.000012	0.000052025	0.00012	5.00877E-05	0.604024186	1.396465156	3	3.975	5	0.987104351	0.050003389	1.028173847	0.000001	1.20000015	2	0.678232733	-0.269240736	2.151227439	142	243.125	400	104.1554577	0.198856394	1.316019348	6	9	12	3	1.83187E-15	1	0.62	1.007	1.44	0.358679523	-0.019694967	1.034541625	1157	7.381703309
La0.900Sr0.100Ga0.950Mg0.050O2.925	1.4625	-2.49	-2.005	-1.63	0.359791606	0.051054725	1.064220024	24.305	100.6145115	138.90547	35.59629034	0.000942999	1.400840827	2	2.925	3	0.263391344	-3.227137186	11.41441441	0.62	0.8359	1.18	0.213780238	0.062583581	1.150499309	1.74	5.75025	6.15	0.984767707	-3.23145271	11.86309376	0.03013	0.0634829	0.084764	0.020938217	-0.049324708	1.148060595	0.05096	0.087374325	0.124878	0.035685035	-0.012515473	1.013280833	28	28.89473684	45	3.796046931	4.006938427	17.05555556	6.1	13.39047619	17	2.449665626	-2.344944331	7.699239844	0.28	0.28047619	0.29	0.002129589	4.248529157	19.05	13	25.375	160	23.08428849	4.89483547	28.95754026	0.000012	0.000064175	0.00012	5.31831E-05	0.09127466	1.018813338	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.450000025	2	0.545435539	-0.263453788	1.971397889	142	233.25	400	91.58977836	0.067711829	1.139634204	6	9	12	3	3.47E-18	1	0.62	0.9965	1.44	0.372206596	0.001863471	1.015049174	783	5.823889002
La0.900Sr0.100Ga0.900Mg0.100O2.900	1.45	-2.49	-2.0175	-1.63	0.355202407	0.128169405	1.100229771	24.305	99.4790615	138.90547	37.24953745	-0.10838087	1.577925684	2	2.9	3	0.3	-2.666666667	8.111111111	0.62	0.8384	1.18	0.211816524	0.051309119	1.165759063	1.74	5.646	6.15	1.166324998	-2.692531911	8.512651378	0.03013	0.06315355	0.084764	0.020703175	-0.028946645	1.170407475	0.05096	0.08778545	0.124878	0.035356357	-0.024945701	1.026251675	28	29.7	45	5.1	2.666666667	8.111111111	6.1	13.55454545	17	2.508662678	-2.145208972	7.412263126	0.28	0.280909091	0.29	0.002874798	2.846049894	9.1	13	28.65	160	31.22382904	3.665976093	15.68682427	0.000012	0.0000618	0.00012	5.27566E-05	0.188794872	1.050251685	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.40000005	2	0.583095069	-0.363172473	2.276813861	142	235.25	400	94.29574487	0.117192043	1.228269016	6	9	12	3	-1.388E-17	1	0.62	0.999	1.44	0.369998649	-0.002465863	1.020281521	993	7.13372116
La0.900Sr0.100Ga0.850Mg0.150O2.875	1.4375	-2.49	-2.03	-1.63	0.350107126	0.206277005	1.150249409	24.305	98.3436115	138.90547	38.79924873	-0.178643127	1.658136139	2	2.875	3	0.330718914	-2.267786838	6.142857143	0.62	0.8409	1.18	0.209804647	0.040757229	1.181507079	1.74	5.54175	6.15	1.314961763	-2.295898436	6.449008818	0.03013	0.0628242	0.084764	0.020460133	-0.009400403	1.194466691	0.05096	0.088196575	0.124878	0.035019768	-0.036750648	1.039476686	28	30.42857143	45	5.948760804	2.041241452	5.166666667	6.1	13.70434783	17	2.552147989	-2.018142878	7.216555286	0.28	0.281304348	0.29	0.003367812	2.194690563	5.816666667	13	31.925	160	37.35665101	2.963706052	10.39173963	0.000012	0.000059425	0.00012	5.22187E-05	0.28786657	1.101742966	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.350000075	2	0.614410122	-0.384796894	2.333096937	142	237.25	400	96.88491885	0.152300841	1.281404475	6	9	12	3	1.388E-17	1	0.62	1.0015	1.44	0.367760452	-0.006458106	1.025327397	1050	7.38952061
La0.900Sr0.100Ga0.800Mg0.200O2.850	1.425	-2.49	-2.0425	-1.63	0.344483309	0.285700872	1.215518342	24.305	97.2081615	138.90547	40.2573828	-0.22182321	1.680473254	2	2.85	3	0.357071421	-1.960392118	4.843137255	0.62	0.8434	1.18	0.207743207	0.031008044	1.197651753	1.74	5.4375	6.15	1.440902061	-1.987144409	5.078000671	0.03013	0.06249485	0.084764	0.020208802	0.009191021	1.22016551	0.05096	0.0886077	0.124878	0.034675039	-0.047858599	1.052844943	28	31.09090909	45	6.556808335	1.649915823	3.722222222	6.1	13.84166667	17	2.583749966	-1.937073775	7.088807349	0.28	0.281666667	0.29	0.00372678	1.788854382	4.2	13	35.2	160	42.36342762	2.490632701	7.565836146	0.000012	0.00005705	0.00012	5.1566E-05	0.389243917	1.174936191	3	3.95	5	0.973396117	0.100022464	1.06290683	0.000001	1.3000001	2	0.640312221	-0.365674035	2.294465489	142	239.25	400	99.36643045	0.176189648	1.309390457	6	9	12	3	-2.776E-17	1	0.62	1.004	1.44	0.36549145	-0.010090814	1.030143058	1111	7.642279998
