Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.95Mg0.05O2.95,La,0.95,Sr,0.05,,,Ga,0.95,Mg,0.05,,,,,,,O,2.95,772,385385.727,634,52785.93227,805.5450205,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.9Mg0.1O2.925,La,0.95,Sr,0.05,,,Ga,0.9,Mg,0.1,,,,,,,O,2.925,996,10962599.59,673,120090.3914,830.3631709,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.85Mg0.15O2.9,La,0.95,Sr,0.05,,,Ga,0.85,Mg,0.15,,,,,,,O,2.9,1118,50677875.87,780,572632.8272,874.9335546,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.8Mg0.2O2.875,La,0.95,Sr,0.05,,,Ga,0.8,Mg,0.2,,,,,,,O,2.875,1152,51033865.51,919,2589563.794,907.0287562,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.75Mg0.25O2.85,La,0.95,Sr,0.05,,,Ga,0.75,Mg,0.25,,,,,,,O,2.85,1173,43184837.16,1012,5980411.881,945.0315719,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.95Sr0.05Ga0.7Mg0.3O2.825,La,0.95,Sr,0.05,,,Ga,0.7,Mg,0.3,,,,,,,O,2.825,1157,24082596.48,1044,6550159.772,1007.150958,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.95Mg0.05O2.925,La,0.9,Sr,0.1,,,Ga,0.95,Mg,0.05,,,,,,,O,2.925,783,666636.3675,642,90581.02201,819.7580437,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.9Mg0.1O2.9,La,0.9,Sr,0.1,,,Ga,0.9,Mg,0.1,,,,,,,O,2.9,993,13605708.43,733,353274.2689,826.3967986,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.85Mg0.15O2.875,La,0.9,Sr,0.1,,,Ga,0.85,Mg,0.15,,,,,,,O,2.875,1050,24520008.12,790,719275.6911,854.9659143,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.8Mg0.2O2.85,La,0.9,Sr,0.1,,,Ga,0.8,Mg,0.2,,,,,,,O,2.85,1111,43881351.82,872,1824834.763,872.1634689,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.75Mg0.25O2.825,La,0.9,Sr,0.1,,,Ga,0.75,Mg,0.25,,,,,,,O,2.825,1146,58351755.39,953,4381930.769,865.0722277,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.9Sr0.1Ga0.7Mg0.3O2.8,La,0.9,Sr,0.1,,,Ga,0.7,Mg,0.3,,,,,,,O,2.8,1169,49773834.88,982,4448155.172,898.5693121,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.95Mg0.05O2.9,La,0.85,Sr,0.15,,,Ga,0.95,Mg,0.05,,,,,,,O,2.9,803,1339758.591,624,112420.3219,838.2601872,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.9Mg0.1O2.875,La,0.85,Sr,0.15,,,Ga,0.9,Mg,0.1,,,,,,,O,2.875,930,6076868.063,728,379268.6227,845.0297983,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.85Mg0.15O2.85,La,0.85,Sr,0.15,,,Ga,0.85,Mg,0.15,,,,,,,O,2.85,998,12459575.48,786,698017.8818,853.6286752,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.83Mg0.17O2.84,La,0.85,Sr,0.15,,,Ga,0.83,Mg,0.17,,,,,,,O,2.84,1044,25216270.53,813,1093615.787,854.25229,bulk,600 - 1100 K,two-probe AC,Table 3,-
"Huang et al., J. Am. Ceram. Soc., 81, 2565 (1998).",10.1111/j.1151-2916.1998.tb02662.x,1998,Perovskites,La0.85Sr0.15Ga0.8Mg0.2O2.825,La,0.85,Sr,0.15,,,Ga,0.8,Mg,0.2,,,,,,,O,2.825,1073,33264456.08,845,1539548.886,860.9925583,bulk,600 - 1100 K,two-probe AC,Table 3,-
