Atom	zElectronegativity	zElectronegativityFromH	zElectronegativityFromO	zMass	zValence	zRadius01	zRadius02	zRadius03	zRadius04	zRadius05	zRadius06	zRadius07	zRadius08	zRadius09	zRadius10	zRadius11	zRadius12	zRadius13	zRadius14	zXensity	zMolDensity	zFilling	zPorosity	zBulkModulus	zShearModulus	zPoissonRatio	zThermalConductivity	zThermalExpansion	zSuperconducting	zOuterPrincipal	zOuterAzimuthal	zOuterNelectron	zOuterNnonquenched	zOuterRnonquenched	zOuterFillingnonquenched	zDebyeTemp	zHubbardU	zMMSusc
H	0.89842503710476701506	0.89842610280381038910	0.89842500598935987332	-1.63965631369239583080	-0.74867737156838906393	-1.65351470877080895100	-1.10527188304818660251	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	-1.34874752839517462848	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03230991826966868514	-1.13828234572215835252	-0.57796699551806252944	0.57796699860293463443	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.60842723931540322878	-0.47949882441663704185	-0.36334680783921052298	-2.22295309618450054020	-1.57263126555581959193	-1.83820519959656827457	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18752437782191095363
He	-1.72239496063731576986	-1.72239492259466927062	-1.72239492994446269499	-1.60591217980580909768	-1.22655602890212438020	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	-1.34874752839517462848	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03229508382168766933	-1.13919142616198836818	-0.57796699551806252944	0.57796699860293463443	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.60881803344609322176	-0.47949882441663704185	-0.36334680783921052298	-2.22295309618450054020	-1.57263126555581959193	-1.28743230102106069948	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18741159051855611790
Li	-0.55493877982493343838	-0.55493881466994102441	-0.55493877666485082363	-1.57281330207263183218	-0.74867737156838906393	1.02078164963659325003	0.67669599912275733752	0.68628178873523936772	0.24298164714501420775	0.34171074540153693549	0.13321404589990170818	0.48036781265639508497	0.53273900937870066058	0.55974779670839359882	0.58098038999015820701	0.59406227475954435739	0.60821734220143284350	-0.15985249364112525410	-0.09166984970282112961	-0.94331823151074575172	0.44963325163183444786	-0.07620782038570762161	0.07620786339606761890	-0.49112956614613708642	-0.43926347274900370740	-0.88799434642803295645	0.52674271849486590765	1.64476563046284648246	-0.36334680783921052298	-2.22295309618450054020	-1.57263126555581959193	-1.28743230102106069948	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	0.57165182114694558594	-0.56610885442594343877	-0.18654997928868363281
Be	0.14791749229680694487	0.14791741357045659328	0.14791747888103795606	-1.54946374857059756050	-0.27079823635551853481	-0.44270496708748613863	-0.63246200865141492028	-0.27344398135336635234	-0.51808879098712161832	-0.36643650365106010869	-0.47127028045730048178	-0.15186766801297428507	-0.05746110464045888844	0.03402559319233192585	0.12216792280896150341	0.20610955446592147358	0.28578202056201352669	-0.15985249364112525410	-0.09166984970282112961	-0.72396841642066955846	3.10111098082968442776	-0.30008672936893301630	0.30008675456502052409	0.91164869702828438622	2.44675512809013640729	-0.67946338444884713496	1.93199558570203241211	0.02847745827193510528	-0.34682020910084275809	-2.22295309618450054020	-1.57263126555581959193	-1.28743230102106069948	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	4.54130522022856734443	-0.56610885442594343877	-0.18779623838903490590
B	0.70781994635988826700	0.70781983267721401747	0.70781991973962732296	-1.52920577703605319443	0.20708089885735199431	-0.44270496708748613863	-0.63246200865141492028	-0.42414679790745256851	-0.89862401005318953142	-0.75200888568391895388	-0.82226117963245014047	-0.55166669113931341654	-0.46376979686226253477	-0.37733496215627477280	-0.29513294019869835576	-0.21696825971746044758	-0.14289312156519769708	-0.15985249364112525410	-0.09166984970282112961	-0.63729523720574583469	3.38959939404210507737	-0.51386025897411135899	0.51386026716002169214	3.15137869705467161142	-0.53410915446672192715	-0.88799434642803295645	-0.24949219862909273292	-0.20242085204105223433	-0.36334680783921052298	-2.22295309618450054020	-1.57263126555581959193	-1.28743230102106069948	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18771289801709783517
C	1.31537367310918927620	1.31537352149518483951	1.31537363216064982741	-1.51567279575209171020	0.68496003407022252343	-0.44270496708748613863	-0.63246200865141492028	-0.46157133068505064552	-0.80349020528667255313	-0.84604532232759174315	-1.03675561801726382068	-0.92402241158615344994	-0.95666235507072619574	-0.97910860997606686813	-0.99864538987653330142	-1.01494732539253483723	-1.02895687081632066005	-0.15985249364112525410	-0.09166984970282112961	-0.65446319385793264923	2.75950334464446899937	-0.56648360986119087939	0.56648361385980766045	-0.23179240824834488139	-0.53410915446672192715	-0.88799434642803295645	1.26282755369861979093	-0.15624118997845476641	-0.36334680783921052298	-2.22295309618450054020	-1.57263126555581959193	-1.28743230102106069948	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	7.40264298051550273657	-0.56610885442594343877	-0.18762913025863801022
N	1.89910176351538044189	1.89910157545754896267	1.89910170880045576310	-1.49318167947999585457	-2.66019391241987118030	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	2.31214190081675848520	-1.20241812623393116478	-1.34874752839517462848	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03211640372915228810	-1.13828234572215835252	-0.57796699551806252944	0.57796699860293463443	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.61049724370560258540	-0.47949882441663704185	-0.36334680783921052298	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18795180708331743793
F	3.01890667164154308634	3.01890641367106381124	3.01890659051763449671	-1.43693807966341866532	-1.70443564199413012217	-0.44270496708748613863	2.74287515023664958853	2.58990953317427175526	1.95539013294231981647	1.83249865542005616764	1.24468522662120896082	1.51884733450562231418	1.38666245832970539157	1.26829691371272491570	1.16796903847911779956	1.07854330793724319921	0.99787595248018630813	-0.15985249364112525410	-0.09166984970282112961	-1.03204223148924720916	-1.13828234572215835252	-0.57484587018568202965	0.57484587351890525188	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.61047221682120565782	-0.47949882441663704185	-0.36334680783921052298	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.67429778586407438214	-0.56610885442594343877	-0.18731072729918612460
Ne	-1.72239496063731576986	-1.72239492259466927062	-1.72239492994446269499	-1.42362711364193669241	-1.22655602890212438020	-0.44270496708748613863	-0.63246200865141492028	-0.67531815883092959546	-1.16024197316111122159	-1.20241812623393116478	-1.34874752839517462848	-1.26706369507989217429	-1.29425999767926294985	-1.31100394047863105568	-1.32636858072024523274	-1.33904420168208206456	-1.34987206783826759664	-0.15985249364112525410	-0.09166984970282112961	-1.03217490812512236158	-1.13919142616198836818	-0.57796699551806252944	0.57796699860293463443	-0.62079814509503318895	-0.53410915446672192715	-0.88799434642803295645	-0.61018581290350819713	-0.47949882441663704185	-0.36334680783921052298	-1.53896752812773114313	-0.60485863068761184526	-0.18588595309687158712	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.40265179596341595886	-0.56610885442594343877	-0.18766417595350385536
Na	-0.61450287068270804713	-0.61450290180895777162	-0.61450286611789224557	-1.39196299109102881227	-0.74867737156838906393	2.37688856032191480000	1.81143969767500937471	1.74923898816339414583	1.19431969481018399038	1.09676125380696832937	0.64020090026400677075	1.06145895651397068169	1.04906481572116863730	1.04071154422525232993	1.03251011959705020125	1.01827880769745712016	0.99787595248018630813	-0.15985249364112525410	-0.09166984970282112961	-0.87064610432284816796	-0.26837500848118155353	0.08717425739082933161	-0.08717420137999123369	-0.54653341351521087568	-0.45958754740280046878	-0.88799434642803295645	1.26282755369861979093	2.75307751996518571252	-0.36334680783921052298	-0.85498196007096174622	-1.57263126555581959193	-1.83820519959656827457	-0.58069614915794818931	-0.61021921698124057741	-0.36821424418776990789	-0.10203023380668730378	-0.56610885442594343877	-0.18645595425367770685
